invoiceId,invoiceAmount,invoicePaidAmount,invoiceBalance,invoiceDiscountRate,invoiceDiscountAmount,invoiceProfit,invoicePaidBy,invoicePaidStatus,invoiceDate
69,301.29,300,1.29,1,3.04,60.5167,Cash,Full Paid,8/5/2018 9:06
70,420.81,420.81,0,2,8.59,48.352,Cash,Full Paid,8/5/2018 9:08
71,550.76,550,0.76,2,11.24,58.07,Cash,Full Paid,8/5/2018 9:09
72,105.6,105.6,0,5,5.56,17.762,Cash,Full Paid,8/5/2018 9:10
73,470.57,470.57,0,1.5,7.17,69.6239,Cash,Full Paid,8/5/2018 9:15
74,230,230,0,2.5,5.9,30.0825,Cash,Full Paid,8/5/2018 9:17
75,213.75,213.75,0,5,11.25,22.5,Cash,Full Paid,8/5/2018 9:18
76,1002.24,1000,2.24,4,41.76,94.44,Cash,Full Paid,8/5/2018 9:20
77,590.94,590.94,0,2,12.06,66.98,Cash,Full Paid,8/5/2018 9:21
78,25,25,0,0,0,10,Cash,Full Paid,8/5/2018 9:21
79,3851.68,3851.68,0,5,202.72,247.68,Cash,Full Paid,8/5/2018 9:26
80,369,369,0,5,19.42,30.979,Cash,Full Paid,8/5/2018 9:30
81,115.34,115.34,0,1.5,1.76,12.6435,Cash,Full Paid,8/5/2018 9:31
82,18,18,0,0,0,2.34,Cash,Full Paid,8/5/2018 9:32
83,484.5,484.5,0,5,25.5,43.5,Cash,Full Paid,8/5/2018 9:36
84,380,380,0,0,0,49.6,Cash,Full Paid,8/5/2018 9:38
85,100.43,100,0.43,2,2.05,14.6104,Cash,Full Paid,8/5/2018 9:39
86,129.6,129.6,0,4,5.4,12.6,Cash,Full Paid,8/5/2018 9:40
87,155,155,0,0,0,23.03,Cash,Full Paid,8/5/2018 9:41
88,377.57,377.57,0,4,15.73,32.318,Cash,Full Paid,8/5/2018 9:46
89,100.75,100,0.75,5,5.3,8.5475,Cash,Full Paid,8/5/2018 9:46
90,825.26,825.26,0,2,16.84,95.058,Cash,Full Paid,8/5/2018 9:49
91,570,570,0,5,30,48,Cash,Full Paid,8/5/2018 9:53
92,814.23,814.23,0,2,16.62,84.853,Cash,Full Paid,8/5/2018 10:03
93,1694.74,0,0,5,89.197,178.253,Credit,Full Paid,8/5/2018 10:05
94,1404.56,1400,4.56,3,43.44,114.08,Cash,Full Paid,8/5/2018 10:07
95,149.76,149.76,0,4,6.24,7.94,Cash,Full Paid,8/5/2018 10:08
96,1029.7901,1029.7901,0,3.5,37.3499,86.6701,Cash,Full Paid,8/5/2018 10:10
97,952.61,952.61,0,3.5,34.55,48.2294,Cash,Full Paid,8/5/2018 10:16
98,433.49,430,3.49,5,22.82,39.385,Cash,Full Paid,8/5/2018 10:17
99,60,60,0,0,0,13.86,Cash,Full Paid,8/5/2018 10:21
100,300,300,0,0,0,41.36,Cash,Full Paid,8/5/2018 10:28
101,90,90,0,0,0,11.2,Cash,Full Paid,8/5/2018 10:32
102,67.6,0,0,0,0,10.5,Credit,Full Paid,8/5/2018 10:33
103,1333.63,1333.63,0,4,55.57,127.562,Cash,Full Paid,8/5/2018 10:38
104,129,129,0,0,0,19.35,Cash,Full Paid,8/5/2018 10:40
105,208.15,208.15,0,2,4.25,28.082,Cash,Full Paid,8/5/2018 10:41
106,29,29,0,0,0,9.9,Cash,Full Paid,8/5/2018 10:41
107,170.24,170.24,0,3,5.27,18.465,Cash,Full Paid,8/5/2018 10:41
108,50,50,0,0,0,7.5,Cash,Full Paid,8/5/2018 10:42
109,67.25,67.25,0,0,0,8.78,Cash,Full Paid,8/5/2018 10:42
110,703.95,703.95,0,5,37.05,58.88,Cash,Full Paid,8/6/2018 8:46
111,24,24,0,0,0,6.6,Cash,Full Paid,8/6/2018 10:27
112,68.2,68.2,0,0,0,8.6,Cash,Full Paid,8/6/2018 8:59
113,1113.4,0,0,5,58.6,134.8,Cash,Full Paid,8/6/2018 9:08
114,872.64,872.64,0,4,36.36,92.48,Cash,Full Paid,8/6/2018 9:58
115,178.125,178.125,0,5,9.375,15.125,Cash,Full Paid,8/6/2018 10:01
116,130,130,0,0,0,19.5,Cash,Full Paid,8/6/2018 10:11
117,102.6,100,2.6,5,5.4,9.5,Cash,Full Paid,8/6/2018 10:16
118,427.77,427.77,0,3,13.23,92.89,Cash,Full Paid,8/6/2018 10:24
119,129.07,129.07,0,2,2.63,14.166,Cash,Full Paid,8/6/2018 10:48
120,542.38,540,2.38,3,16.77,58.69,Cash,Full Paid,8/6/2018 10:52
121,199.13,199.13,0,3,6.16,20.5313,Cash,Full Paid,8/6/2018 10:53
122,139.89,139.89,1.3,1,1.41,17.287,Cash,Full Paid,8/6/2018 10:54
123,902.1,100,783.5,3,27.9,93.1,Cash,Full Paid,8/6/2018 11:00
124,299.73,299.73,0,3,9.27,32.09,Cash,Full Paid,8/6/2018 11:06
125,120.71,120,0.71,4,5.03,21.6104,,,8/6/2018 11:06
126,480,0,480,4,20,45,Credit,Not Paid,8/6/2018 11:27
127,125,125,0,0,0,13.26,Cash,Full Paid,8/6/2018 11:40
128,40,40,0,0,0,6,Cash,Full Paid,8/6/2018 11:43
129,306.21,306.21,0,5,16.12,26.7135,Cash,Full Paid,8/6/2018 12:15
130,1039.31,1039.31,0,3.5,37.7,89.305,Cash,Full Paid,8/6/2018 12:27
131,80,80,0,0,0,10.4,Cash,Full Paid,8/6/2018 12:35
132,20,20,0,0,0,4.4,Cash,Full Paid,8/6/2018 12:36
133,232.1,232.1,0,0,0,29.1,Cash,Full Paid,8/6/2018 12:51
134,9.72,9.72,0,0,0,1.26,Cash,Full Paid,8/6/2018 1:03
135,303.05,303.05,0,5,15.95,25.75,Cash,Full Paid,8/6/2018 1:28
136,37.35,37.35,0,0,0,5.22,Cash,Full Paid,8/6/2018 4:21
137,401.87,401.87,0,3,12.43,40.571,Cash,Full Paid,8/6/2018 4:29
138,291,291,0,3,9,28.6,Cash,Full Paid,8/6/2018 4:33
139,31.8,30,1.8,0,0,4.2,Cash,Full Paid,8/6/2018 4:40
140,10,10,0,0,0,3.29,Cash,Full Paid,8/6/2018 4:45
141,239.3,239.3,0,3,7.4,24.999,Cash,Full Paid,8/6/2018 5:23
142,209,0,209,5,11,16,Credit,Not Paid,8/6/2018 5:24
143,120.8,120,0.8,0,0,49.14,Cash,Full Paid,8/6/2018 5:32
144,199.78,199.78,0,1,2.02,28.782,Cash,Full Paid,8/6/2018 5:48
145,87.22,87.22,0,2,1.78,10.22,Cash,Full Paid,8/6/2018 5:48
146,100.05,100,0.05,3,3.09,9.7958,Cash,Full Paid,8/6/2018 6:07
147,50,50,0,0,0,6.53,Cash,Full Paid,8/6/2018 6:07
148,326.02,326.02,0,3,10.08,32.517,Cash,Full Paid,8/6/2018 6:27
149,590,590,0,0,0,65.2,Cash,Full Paid,8/6/2018 6:29
150,425.32,425.32,0,2,8.68,46.42,Cash,Full Paid,8/6/2018 6:50
151,324.95,324.95,0,3,10.05,11.3,Cash,Full Paid,8/6/2018 7:00
152,200,200,0,0,0,26,Cash,Full Paid,8/6/2018 7:04
153,274.08,274.08,0,5,14.43,25.875,Cash,Full Paid,8/6/2018 7:06
154,236.44,0,0,0,0,29.92,Credit,Not Paid,8/9/2018 10:36
155,606.58,606.58,0,5,31.93,54.975,Cash,Full Paid,8/6/2018 7:18
156,534.28,534.28,0,5,28.12,46.08,Cash,Full Paid,8/6/2018 7:19
157,280.18,280.18,0,2,5.72,53.742,Cash,Full Paid,8/6/2018 7:22
158,670.28,670,0.28,0.7,4.73,109.275,Cash,Full Paid,8/6/2018 7:25
159,81.18,81.18,0,5,4.27,7.1775,Cash,Full Paid,8/6/2018 7:27
160,454.1,454.1,0,5,23.9,35.1,Cash,Full Paid,8/6/2018 7:30
161,54.9,54.9,0,0,0,7.3,Cash,Full Paid,8/6/2018 7:32
162,448.4,448.4,0,5,23.6,37.4,Cash,Full Paid,8/6/2018 7:37
163,426.93,426.93,0,5,22.47,38.31,Cash,Full Paid,8/6/2018 7:44
164,14,14,0,0,0,2.8,Cash,Full Paid,8/6/2018 7:47
165,52.63,50,2.63,5,2.77,4.43,Cash,Full Paid,8/6/2018 7:50
166,28,28,0,0,0,3.88,Cash,Full Paid,8/6/2018 7:52
167,120.64,120,0.64,2,2.46,19.338,Cash,Full Paid,8/6/2018 7:53
168,281.36,281.36,0,1,2.84,37.658,Cash,Full Paid,8/6/2018 7:58
169,105.16,105,0.16,0,0,16.4,Cash,Full Paid,8/6/2018 8:00
170,110,110,0,0,0,20,Cash,Full Paid,8/6/2018 8:03
171,1687.77,1687.77,0,5,88.83,147.97,Cash,Full Paid,8/6/2018 8:16
172,339.96,339.96,0,2,6.94,37.792,Cash,Full Paid,8/6/2018 8:20
173,19.44,19.44,0,0,0,2.52,Cash,Full Paid,8/6/2018 8:24
174,404.79,404.79,0,5,21.3,34.9755,Cash,Full Paid,8/6/2018 8:30
175,281.72,281.72,0,5,14.83,23.4525,Cash,Full Paid,8/6/2018 8:31
176,69.5,69.5,0,0,0,9.08,Cash,Full Paid,8/6/2018 8:37
177,1447.5,1447.5,0,3.5,52.5,128.24,Cash,Full Paid,8/6/2018 8:41
178,299,299,0,0,0,39,Cash,Full Paid,8/6/2018 8:43
179,194.75,194.75,0,5,10.25,17.57,Cash,Full Paid,8/6/2018 8:44
180,534.59,534.59,0,2,10.91,111.59,Cash,Full Paid,8/6/2018 8:54
181,80.496,80.496,0,4,3.354,7.386,Cash,Full Paid,8/6/2018 8:59
182,1235,1235,0,5,65,82,Cash,Full Paid,8/6/2018 8:59
183,835,835,0,0,0,148.5,Cash,Full Paid,8/6/2018 9:06
184,4629.68,4629.68,0,5,243.67,413.7825,Cash,Full Paid,8/6/2018 9:10
185,90.24,90,0.24,4,3.76,9.24,Cash,Full Paid,8/6/2018 9:17
186,240.3,240.3,0,2,4.9,28.896,Cash,Full Paid,8/6/2018 9:21
187,120,120,5,4,5,10,Cash,Full Paid,8/6/2018 9:24
188,160.05,160,0.05,3,4.95,16.05,Cash,Full Paid,8/6/2018 9:26
189,480.2,480.2,0,2,9.8,63.2,Cash,Full Paid,8/6/2018 9:30
190,1853.74,1850,3.74,5,97.57,207.915,Cash,Full Paid,8/6/2018 9:31
191,55,50,2.25,0,0,24.9,Cash,Full Paid,8/6/2018 9:37
192,784,784,0,0,0,88.21,Cash,Full Paid,8/6/2018 9:41
193,1358.5,1358.5,0,5,71.5,137.32,Cash,Full Paid,8/6/2018 9:47
194,12,12,0,0,0,1.6,Cash,Full Paid,8/6/2018 9:49
195,336.48,336.48,0,5,17.71,33.8005,Cash,Full Paid,8/6/2018 9:51
196,260.67,260,0.67,1,2.63,31.727,Cash,Full Paid,8/6/2018 9:55
197,485.36,485.36,0,5,25.55,47.595,Cash,Full Paid,8/6/2018 9:57
198,442.51,442.51,0,5,23.29,43.01,Cash,Full Paid,8/6/2018 9:57
199,81.35,80,1.35,0,0,10.15,Cash,Full Paid,8/6/2018 10:00
200,100.51,100,0.51,1,1.02,10.3747,Cash,Full Paid,8/6/2018 10:01
201,95.24,95.24,0,1,0.96,11.668,Cash,Full Paid,8/6/2018 10:10
202,581.42,581.42,0,3,17.98,61.418,Cash,Full Paid,8/6/2018 10:12
203,1207.82,1207.82,0,5,63.57,101.4805,Cash,Full Paid,8/6/2018 10:18
204,200.3,200,0.3,0,0,29,Cash,Full Paid,8/6/2018 10:21
205,37.5,37.5,0,0,0,5,Cash,Full Paid,8/6/2018 10:24
206,130,130,0,0,0,17.93,Cash,Full Paid,8/6/2018 10:27
207,546.45,546.45,0,3,16.9,33.6195,Cash,Full Paid,8/6/2018 10:30
208,210.7,210,0.7,2,4.3,38.22,Cash,Full Paid,8/6/2018 10:37
209,430.83,430.83,0,5,22.68,36.525,Cash,Full Paid,8/6/2018 10:56
210,764.28,764.28,0,3.5,27.72,72.18,Cash,Full Paid,8/6/2018 11:10
211,712.12,712.12,0,5,37.48,72.17,Cash,Full Paid,8/6/2018 11:16
212,1569.75,1569.75,0,2.5,40.25,75.56,Cash,Full Paid,8/6/2018 11:26
213,553.51,553.51,0,5,29.13,47.198,Cash,Full Paid,8/6/2018 11:31
214,290.47,290.47,0,0,0,37.91,Cash,Full Paid,8/7/2018 9:01
215,62,62,0,0,0,8.5,Cash,Full Paid,8/7/2018 9:04
216,1066.28,1000,66.28,5,56.12,87.88,Cash,Advance,8/7/2018 9:17
217,1952.707,1952.707,0,3,60.393,251.057,Cash,Full Paid,8/7/2018 9:42
218,149.74,149.74,0,2,3.06,16.344,Cash,Full Paid,8/7/2018 9:48
219,219.58,219.58,0,5,11.56,18.463,Cash,Full Paid,8/7/2018 10:06
220,651.84,651.84,0,3,20.16,62.31,Cash,Full Paid,8/7/2018 10:12
221,411.35,411.35,0,5,21.65,50.26,Cash,Full Paid,8/7/2018 10:27
222,1539.58,1539.58,0,2,31.42,132.09,Cash,Full Paid,8/7/2018 10:29
223,369.98,369.98,0,3.5,13.42,38.981,Cash,Full Paid,8/7/2018 10:32
224,18,18,0,0,0,2.34,Cash,Full Paid,8/7/2018 10:35
225,902.5,900,2.5,5,47.5,110.83,Cash,Full Paid,8/7/2018 10:42
226,80.04,80.04,0,5,4.21,7.3875,Cash,Full Paid,8/7/2018 10:46
227,448.73,448.73,0,3.5,16.28,10.045,Cash,Full Paid,8/7/2018 10:48
228,231.26,231.26,0,1,2.34,27.364,Cash,Full Paid,8/7/2018 10:56
229,1669.5,1669.5,0,4.6,80.5,147.14,Cash,Full Paid,8/7/2018 11:02
230,46.8,46.8,0,0,0,6.2,Cash,Full Paid,8/7/2018 11:16
231,499.32,499.32,0,1,5.04,62.0764,Cash,Full Paid,8/7/2018 11:27
232,480.7,480.7,0.94,5,25.3,40.7,Cash,Full Paid,8/7/2018 11:29
233,1877.43,1877.43,0,5,98.81,147.308,Cash,Full Paid,8/7/2018 11:30
234,500.1,500,0.1,0,0,65.26,Cash,Full Paid,8/7/2018 11:39
235,341.43,340,1.43,2,6.97,41.832,Cash,Full Paid,8/7/2018 11:40
236,38,38,0,0,0,4.84,Cash,Full Paid,8/7/2018 11:44
237,210,210,0,0,0,28.53,Cash,Full Paid,8/7/2018 11:54
238,250,250,0,0,0,38.75,Cash,Full Paid,8/7/2018 11:56
239,350.4,350.4,0,4,14.6,23.9,Cash,Full Paid,8/7/2018 12:15
240,230,230,0,0,0,31,Cash,Full Paid,8/7/2018 12:15
241,358.97,358.97,0,2,7.33,39.474,Cash,Full Paid,8/7/2018 12:24
242,400.1,400,0.1,0,0,59.92,Cash,Full Paid,8/7/2018 12:51
243,110,110,0,0,0,20,Cash,Full Paid,8/7/2018 12:54
244,97.5,97.5,0,0,0,13.6,Cash,Full Paid,8/7/2018 12:57
245,76.95,76.95,0,0,0,9.75,Cash,Full Paid,8/7/2018 1:18
246,125,125,0,0,0,16.2,Cash,Full Paid,8/7/2018 1:22
247,166.63,166.63,0,5,8.77,13.33,Cash,Full Paid,8/7/2018 4:36
248,137.94,137.94,0,5,7.26,11.94,Cash,Full Paid,8/7/2018 4:44
249,170,170,0,0,0,18,Cash,Full Paid,8/7/2018 5:01
250,239.3,239.3,0,0,0,27.07,Cash,Full Paid,8/7/2018 5:28
251,70,70,0,0,0,10.2,Cash,Full Paid,8/7/2018 5:29
252,200,200,0,0,0,50,Cash,Full Paid,8/7/2018 5:37
253,1680.35,1680,0.35,3,51.97,132.6004,Cash,Full Paid,8/7/2018 5:45
254,3194.85,0,3194.85,5,168.15,252.75,Credit,Not Paid,8/7/2018 5:52
255,130.95,130.95,0,3,4.05,11.95,Cash,Full Paid,8/7/2018 6:01
256,180,180,0,0,0,23.48,Cash,Full Paid,8/7/2018 6:06
257,479.27,0,479.27,2,9.78,47.129,Credit,Not Paid,8/7/2018 6:09
258,741,741,0,5,39,111,Cash,Full Paid,8/7/2018 6:16
259,470,470,0,0,0,32.9,Cash,Full Paid,8/7/2018 6:17
260,951.38,951.38,0,3,29.42,98.476,Cash,Full Paid,8/7/2018 6:22
261,421.06,421.06,0,4,17.54,63.256,Cash,Full Paid,8/7/2018 6:24
262,100.06,100,0.06,2,2.04,10.558,Cash,Full Paid,8/7/2018 6:26
263,238.65,238.65,0,7.5,19.35,19.35,Cash,Full Paid,8/7/2018 6:31
264,92.44,92.44,0,5,4.87,7.135,Cash,Full Paid,8/7/2018 6:37
265,1398.72,0,1398.72,3,43.26,144.2806,Credit,Not Paid,8/7/2018 6:38
266,1552.91,1552.91,0,5,81.73,133.268,Cash,Full Paid,8/7/2018 6:38
267,110,110,0,0,0,11.75,Cash,Full Paid,8/7/2018 6:44
268,130.95,130,0.95,3,4.05,13.95,Credit,Not Paid,8/7/2018 6:47
269,70.3,70,0.3,5,3.7,6.3,Cash,Full Paid,8/7/2018 6:49
270,183.73,183.73,0,5,9.67,21.63,Cash,Full Paid,8/7/2018 6:51
271,299.88,299.88,0,2,6.12,34.68,Cash,Full Paid,8/7/2018 6:52
272,173.15,173.15,0,3,5.36,17.865,Cash,Full Paid,8/7/2018 6:55
273,99.43,99.43,0,3,3.08,13.135,Cash,Full Paid,8/7/2018 6:56
274,620.88,620,0.88,0,0,79.24,Cash,Full Paid,8/7/2018 6:59
275,130,130,0,0,0,17.93,Cash,Full Paid,8/7/2018 7:00
276,70,70,0,0,0,9.17,Cash,Full Paid,8/7/2018 7:05
277,413.53,413.53,0,5,21.76,33.4755,Cash,Full Paid,8/7/2018 7:08
278,101.39,100,1.39,0,0,14.31,Cash,Full Paid,8/7/2018 7:10
279,984,0,984,0,0,284.35,Credit,Not Paid,8/7/2018 7:11
280,239,239,0,2,4.88,29.3224,Cash,Full Paid,8/7/2018 7:14
281,301.86,300,1.86,3,9.34,33.064,Cash,Full Paid,8/7/2018 7:17
282,1220.85,1220.85,0,5,64.26,99.745,Cash,Full Paid,8/7/2018 7:21
283,526.68,526.68,0,5,27.72,44.52,Cash,Full Paid,8/7/2018 7:26
284,130.02,130,0.02,4,5.42,17.6024,Cash,Full Paid,8/7/2018 7:26
285,148.2,148.2,0,5,7.8,13.56,Cash,Full Paid,8/7/2018 7:27
286,420.74,420.74,0,3.5,15.26,44.74,Cash,Full Paid,8/7/2018 7:28
287,80,80,0,0,0,10.4,Cash,Full Paid,8/7/2018 7:31
288,685.46,685.46,0,0,0,90.62,Cash,Full Paid,8/7/2018 7:33
289,120,120,0,0,0,19.89,Cash,Full Paid,8/7/2018 7:38
290,117.1,117.1,0,0,0,14.4,Cash,Full Paid,8/7/2018 7:39
291,40,40,0,0,0,3.6,Cash,Full Paid,8/7/2018 7:40
292,300.84,300.84,0,3,9.3,34.1358,Cash,Full Paid,8/7/2018 7:40
293,726,726,0,0,0,68.6,Cash,Full Paid,8/7/2018 7:51
294,150,150,0,0,0,21.25,Cash,Full Paid,8/7/2018 7:51
295,441.75,441.75,0,5,23.25,102.25,Cash,Full Paid,8/7/2018 7:53
296,169.34,169.34,0,4,7.06,16.144,Cash,Full Paid,8/7/2018 7:59
297,30,30,0,0,0,3,Cash,Full Paid,8/7/2018 8:00
298,50,50,0,0,0,6.51,Cash,Full Paid,8/7/2018 8:02
299,614.65,614.65,0,5,32.35,52.05,Cash,Full Paid,8/7/2018 8:07
300,70,70,0,0,0,7.5,Cash,Full Paid,8/7/2018 8:11
301,85.36,85,0.36,3,2.64,8.86,Cash,Full Paid,8/7/2018 8:14
302,31.5,31.5,0,0,0,4.11,Cash,Full Paid,8/7/2018 8:17
303,30,30,0,0,0,3,Cash,Full Paid,8/7/2018 8:21
304,349.68,349.68,0,1.5,5.33,39.975,Cash,Full Paid,8/7/2018 8:21
305,20.52,20,0.52,0,0,4.31,Cash,Full Paid,8/7/2018 8:23
306,280.25,280.25,0,5,14.75,23.73,Cash,Full Paid,8/7/2018 8:27
307,600,600,0,0,0,120,Cash,Full Paid,8/7/2018 8:41
308,294.12,294.12,0,5,15.48,28.12,Cash,Full Paid,8/7/2018 8:41
309,1966.92,1966.92,0,3.5,71.34,206.1409,Cash,Full Paid,8/7/2018 8:41
310,200.9,200,0.9,2,4.1,25.9,Cash,Full Paid,8/7/2018 8:43
311,140,140,0,0,0,12.73,Cash,Full Paid,8/7/2018 8:47
312,555.66,555.66,0,3,17.19,59.05,Cash,Full Paid,8/7/2018 8:47
313,776.4384,776.4384,0,4,32.3516,79.0284,Cash,Full Paid,8/7/2018 8:54
314,260.45,260,0.45,3,8.06,28.845,Cash,Full Paid,8/7/2018 8:58
315,416.5,416.5,0,2,8.5,39,Cash,Full Paid,8/7/2018 9:04
317,110.78,110,0.78,4,4.62,11.184,Cash,Full Paid,8/7/2018 9:11
318,139.68,139.68,0,3,4.32,14.76,Cash,Full Paid,8/7/2018 9:12
319,693.55,693.55,0,5,36.5,55.1975,Cash,Full Paid,8/7/2018 9:13
320,1200,1200,0,4,50,50,Cash,Full Paid,8/7/2018 9:17
321,952.54,952.54,0,3,29.46,75.59,Cash,Full Paid,8/7/2018 9:20
322,169.71,169.71,0,1,1.71,20.4058,Cash,Full Paid,8/7/2018 9:20
323,545.14,545.14,0,3,16.86,141.14,Cash,Full Paid,8/7/2018 9:27
324,69,69,0,0,0,9,Cash,Full Paid,8/7/2018 9:28
325,270,270,0,0,0,27,Cash,Full Paid,8/7/2018 9:28
326,942.31,942.31,0,5,49.6,79.805,Cash,Full Paid,8/7/2018 9:29
327,400.76,400.76,0,3,12.39,41.5055,Cash,Full Paid,8/7/2018 9:29
328,150,150,0,0,0,20,Cash,Full Paid,8/7/2018 9:35
329,1676.2005,0,1676.2,2.5,42.9795,179.8805,Credit,Not Paid,8/7/2018 9:38
330,270.9112,270.9112,0,2,5.5288,29.6112,Cash,Full Paid,8/7/2018 9:41
331,537.67,537.67,0,3,16.63,53.471,Cash,Full Paid,8/7/2018 9:44
332,36,36,0,0,0,4.68,Cash,Full Paid,8/7/2018 9:46
333,531.26,530,1.26,5,27.96,44.339,Cash,Full Paid,8/7/2018 9:49
334,110,110,0,0,0,20,Cash,Full Paid,8/7/2018 9:50
